episode_id,episode_id_num,view_group,training_status,training_ready,training_warnings,training_info,fpv_quality,fpv_max_gap_ms,train_exclude_fraction,label_usage,fpv_visual_usage,next_step_role,reason
episode_45,45,late_new_view_39_65,FAIL,0,raw_qpos_branch_jump;bucket_reference_warn;episode_total_steps_outlier,,usable_clean,233.54111999999998,0.0,no_action_label,fpv_stats_only,visual_statistics_or_thumbnail_only,Episode length/source length is outlier; avoid temporal replay but visual domain stats are allowed.
episode_46,46,late_new_view_39_65,FAIL,0,episode_length_outlier;episode_total_steps_outlier,,usable_clean,100.178944,0.0,no_action_label,fpv_stats_only,visual_statistics_or_thumbnail_only,Episode length/source length is outlier; avoid temporal replay but visual domain stats are allowed.
episode_47,47,late_new_view_39_65,WARN,1,bucket_semantic_review,,usable_clean,200.03199999999998,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_48,48,late_new_view_39_65,PASS,1,,,usable_clean,100.232192,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_49,49,late_new_view_39_65,PASS,1,,,usable_clean,233.348096,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_50,50,late_new_view_39_65,PASS,1,,,usable_clean,199.97312,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_51,51,late_new_view_39_65,PASS,1,,,usable_clean,199.983104,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_52,52,late_new_view_39_65,FAIL,0,bucket_semantic_outlier,,usable_clean,132.758016,0.0,no_action_label,fpv_reuse_domain,fpv_swap_roi_mask_augmentation_source,Action label rejected; FPV stream can still represent the shifted camera/domain.
episode_53,53,late_new_view_39_65,PASS,1,,,usable_clean,233.30099199999998,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_54,54,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,usable_clean,233.359104,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_55,55,late_new_view_39_65,PASS,1,,usable_with_gap_mask;bucket_reference_semantic_keep,usable_with_gap_mask,266.685952,0.04,bc_supervised_masked,fpv_train_masked,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_56,56,late_new_view_39_65,PASS,1,,,usable_clean,233.353216,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_57,57,late_new_view_39_65,PASS,1,,,usable_clean,166.611968,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_58,58,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,usable_clean,100.62208,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_59,59,late_new_view_39_65,PASS,1,,,usable_clean,100.452096,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_60,60,late_new_view_39_65,WARN,1,bucket_semantic_review,,usable_clean,133.345024,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_61,61,late_new_view_39_65,PASS,1,,,usable_clean,233.331968,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_62,62,late_new_view_39_65,PASS,1,,usable_with_gap_mask,usable_with_gap_mask,300.369152,0.09255079006772009,bc_supervised_masked,fpv_train_masked,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_63,63,late_new_view_39_65,PASS,1,,,usable_clean,100.37222399999999,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_64,64,late_new_view_39_65,FAIL,0,bucket_semantic_outlier,,usable_clean,100.295936,0.0,no_action_label,fpv_reuse_domain,fpv_swap_roi_mask_augmentation_source,Action label rejected; FPV stream can still represent the shifted camera/domain.
episode_65,65,late_new_view_39_65,PASS,1,,,usable_clean,100.26009599999999,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_66,66,live_like_external_66_70,PASS,1,,,usable_clean,233.366016,0.0,external_holdout_only,fpv_external_reference,live_like_external_fpv_sensitivity_only,Live-like view and IMU/distribution boundary; do not include in main train yet.
episode_67,67,live_like_external_66_70,FAIL,0,bucket_reference_outlier,,usable_clean,100.19097599999999,0.0,no_action_label,fpv_external_reference,live_like_external_fpv_sensitivity_only,"Action label rejected, but shifted/live-like FPV can stress-test view sensitivity."
episode_68,68,live_like_external_66_70,FAIL,0,bucket_reference_outlier,,usable_clean,200.04889599999998,0.0,no_action_label,fpv_external_reference,live_like_external_fpv_sensitivity_only,"Action label rejected, but shifted/live-like FPV can stress-test view sensitivity."
episode_69,69,live_like_external_66_70,FAIL,0,qpos_jump;bucket_reference_warn,,usable_clean,133.30892799999998,0.0,no_action_label,fpv_external_reference,live_like_external_fpv_sensitivity_only,"Action label rejected, but shifted/live-like FPV can stress-test view sensitivity."
episode_70,70,live_like_external_66_70,FAIL,0,bucket_reference_outlier,usable_with_gap_mask,usable_with_gap_mask,299.98796799999997,0.0407149950347567,no_action_label,fpv_external_reference_masked,live_like_external_fpv_sensitivity_only,"Action label rejected, but shifted/live-like FPV can stress-test view sensitivity."
