episode_id,episode_id_num,view_group,training_status,training_ready,training_warnings,training_info,has_images,fpv_quality,fpv_max_gap_ms,fpv_gap_mask_status,train_exclude_fraction,fpv_usage,usage_note
episode_41,41,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,1,usable_clean,234.183168,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_42,42,late_new_view_39_65,PASS,1,,,1,usable_clean,100.226816,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_43,43,late_new_view_39_65,PASS,1,,,1,usable_clean,199.909888,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_44,44,late_new_view_39_65,FAIL,0,qpos_jump;raw_qpos_branch_jump;bucket_reference_outlier,,1,usable_clean,100.26496,no_large_gap,0.0,fpv_reuse_only,"Do not use failed action labels; reuse FPV for swap sensitivity, ROI/mask, and visual-domain stats."
episode_45,45,late_new_view_39_65,FAIL,0,raw_qpos_branch_jump;bucket_reference_warn;episode_total_steps_outlier,,1,usable_clean,233.54111999999998,no_large_gap,0.0,limited_fpv_reuse,FPV can support visual statistics/thumbnails; too short or length-outlier for primary temporal replay.
episode_46,46,late_new_view_39_65,FAIL,0,episode_length_outlier;episode_total_steps_outlier,,1,usable_clean,100.178944,no_large_gap,0.0,limited_fpv_reuse,FPV can support visual statistics/thumbnails; too short or length-outlier for primary temporal replay.
episode_47,47,late_new_view_39_65,WARN,1,bucket_semantic_review,,1,usable_clean,200.03199999999998,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_48,48,late_new_view_39_65,PASS,1,,,1,usable_clean,100.232192,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_49,49,late_new_view_39_65,PASS,1,,,1,usable_clean,233.348096,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_50,50,late_new_view_39_65,PASS,1,,,1,usable_clean,199.97312,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_51,51,late_new_view_39_65,PASS,1,,,1,usable_clean,199.983104,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_52,52,late_new_view_39_65,FAIL,0,bucket_semantic_outlier,,1,usable_clean,132.758016,no_large_gap,0.0,fpv_reuse_only,"Do not use failed action labels; reuse FPV for swap sensitivity, ROI/mask, and visual-domain stats."
episode_53,53,late_new_view_39_65,PASS,1,,,1,usable_clean,233.30099199999998,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_54,54,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,1,usable_clean,233.359104,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_55,55,late_new_view_39_65,PASS,1,,usable_with_gap_mask;bucket_reference_semantic_keep,1,usable_with_gap_mask,266.685952,usable_with_gap_mask,0.04,supervised_train_with_mask,Action label is train-ready; use only unmasked windows and keep view-group label for reporting.
episode_56,56,late_new_view_39_65,PASS,1,,,1,usable_clean,233.353216,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_57,57,late_new_view_39_65,PASS,1,,,1,usable_clean,166.611968,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_58,58,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,1,usable_clean,100.62208,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_59,59,late_new_view_39_65,PASS,1,,,1,usable_clean,100.452096,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_60,60,late_new_view_39_65,WARN,1,bucket_semantic_review,,1,usable_clean,133.345024,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_61,61,late_new_view_39_65,PASS,1,,,1,usable_clean,233.331968,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_62,62,late_new_view_39_65,PASS,1,,usable_with_gap_mask,1,usable_with_gap_mask,300.369152,usable_with_gap_mask,0.09255079006772009,supervised_train_with_mask,Action label is train-ready; use only unmasked windows and keep view-group label for reporting.
episode_63,63,late_new_view_39_65,PASS,1,,,1,usable_clean,100.37222399999999,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_64,64,late_new_view_39_65,FAIL,0,bucket_semantic_outlier,,1,usable_clean,100.295936,no_large_gap,0.0,fpv_reuse_only,"Do not use failed action labels; reuse FPV for swap sensitivity, ROI/mask, and visual-domain stats."
episode_65,65,late_new_view_39_65,PASS,1,,,1,usable_clean,100.26009599999999,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_66,66,live_like_external_66_70,PASS,1,,,1,usable_clean,233.366016,no_large_gap,0.0,external_holdout_candidate,QC train-ready but live-like/IMU distribution should stay external until distribution boundary is resolved.
episode_67,67,live_like_external_66_70,FAIL,0,bucket_reference_outlier,,1,usable_clean,100.19097599999999,no_large_gap,0.0,fpv_reuse_only,"Do not use failed action labels; reuse FPV for swap sensitivity, ROI/mask, and visual-domain stats."
episode_68,68,live_like_external_66_70,FAIL,0,bucket_reference_outlier,,1,usable_clean,200.04889599999998,no_large_gap,0.0,fpv_reuse_only,"Do not use failed action labels; reuse FPV for swap sensitivity, ROI/mask, and visual-domain stats."
episode_69,69,live_like_external_66_70,FAIL,0,qpos_jump;bucket_reference_warn,,1,usable_clean,133.30892799999998,no_large_gap,0.0,fpv_reuse_only,"Do not use failed action labels; reuse FPV for swap sensitivity, ROI/mask, and visual-domain stats."
episode_70,70,live_like_external_66_70,FAIL,0,bucket_reference_outlier,usable_with_gap_mask,1,usable_with_gap_mask,299.98796799999997,usable_with_gap_mask,0.0407149950347567,fpv_reuse_with_mask,"Do not use failed action labels; reuse healthy FPV windows for swap sensitivity, ROI/mask, and visual-domain stats."
