step,phase
353,DIG
354,DIG
355,DIG
356,DIG
357,DIG
358,DIG
359,DIG
360,DIG
361,DIG
362,DIG
363,DIG
364,DIG
365,DIG
366,DIG
367,DIG
368,DIG
369,DIG
370,DIG
371,DIG
372,DIG
373,DIG
374,DIG
375,DIG
376,DIG
377,DIG
378,DIG
379,DIG
380,DIG
381,DIG
382,DIG
383,DIG
384,DIG
385,DIG
386,DIG
387,DIG
388,DIG
389,GO_HOME
390,GO_HOME
391,GO_HOME
392,GO_HOME
393,GO_HOME
394,GO_HOME
395,GO_HOME
396,GO_HOME
397,GO_HOME
398,GO_HOME
399,GO_HOME
400,GO_HOME
401,GO_HOME
402,GO_HOME
403,GO_HOME
404,GO_HOME
405,GO_HOME
406,GO_HOME
407,GO_HOME
408,GO_HOME
409,GO_HOME
410,GO_HOME
411,GO_HOME
412,GO_HOME
413,GO_HOME
414,GO_HOME
415,GO_HOME
416,GO_HOME
417,GO_HOME
418,GO_HOME
419,GO_HOME
420,GO_HOME
421,GO_HOME
422,GO_HOME
423,GO_HOME
424,GO_HOME
425,GO_HOME
426,GO_HOME
427,GO_HOME
428,GO_HOME
429,GO_HOME
430,GO_HOME
431,GO_HOME
432,GO_HOME
433,GO_HOME
434,GO_HOME
435,GO_HOME
436,GO_HOME
437,GO_HOME
438,GO_HOME
439,GO_HOME
440,GO_HOME
441,GO_HOME
442,GO_HOME
443,GO_HOME
444,GO_HOME
445,GO_HOME
446,GO_HOME
447,GO_HOME
448,GO_HOME
449,GO_HOME
450,GO_HOME
451,GO_HOME
452,GO_HOME
453,GO_HOME
454,GO_HOME
455,GO_HOME
456,GO_HOME
457,GO_HOME
458,GO_HOME
459,GO_HOME
460,GO_HOME
461,GO_HOME
462,GO_HOME
463,GO_HOME
464,GO_HOME
465,GO_HOME
466,GO_HOME
467,GO_HOME
468,GO_HOME
469,GO_HOME
470,GO_HOME
471,GO_HOME
472,GO_HOME
473,GO_HOME
474,GO_HOME
475,GO_HOME
476,GO_HOME
477,GO_HOME
478,GO_HOME
479,GO_HOME
480,GO_HOME
481,GO_HOME
482,GO_HOME
483,GO_HOME
484,GO_HOME
485,GO_HOME
486,GO_HOME
487,GO_HOME
488,GO_HOME
489,GO_HOME
490,GO_HOME
491,GO_HOME
492,GO_HOME
493,GO_HOME
494,GO_HOME
495,GO_HOME
496,GO_HOME
497,GO_HOME
498,GO_HOME
499,GO_HOME
500,GO_HOME
501,GO_HOME
502,GO_HOME
503,GO_HOME
504,GO_HOME
505,GO_HOME
506,GO_HOME
507,GO_HOME
508,GO_HOME
509,GO_HOME
510,GO_HOME
511,GO_HOME
512,GO_HOME
513,GO_HOME
514,GO_HOME
515,GO_HOME
516,GO_HOME
517,GO_HOME
518,GO_HOME
519,GO_HOME
520,GO_HOME
521,GO_HOME
522,GO_HOME
523,GO_HOME
524,GO_HOME
525,GO_HOME
526,GO_HOME
527,GO_HOME
528,GO_HOME
529,GO_HOME
530,GO_HOME
531,GO_HOME
532,GO_HOME
533,GO_HOME
534,GO_HOME
535,GO_HOME
536,GO_HOME
537,GO_HOME
538,GO_HOME
539,GO_HOME
540,GO_HOME
541,GO_HOME
542,GO_HOME
543,GO_HOME
544,GO_HOME
545,GO_HOME
546,GO_HOME
547,GO_HOME
548,GO_HOME
549,GO_HOME
550,GO_HOME
551,GO_HOME
552,GO_HOME
553,GO_HOME
554,GO_HOME
555,GO_HOME
556,GO_HOME
557,GO_HOME
558,GO_HOME
559,GO_HOME
560,GO_HOME
561,GO_HOME
562,GO_HOME
563,GO_HOME
564,GO_HOME
565,GO_HOME
566,GO_HOME
567,GO_HOME
568,GO_HOME
569,GO_HOME
570,GO_HOME
571,GO_HOME
572,GO_HOME
573,GO_HOME
574,GO_HOME
575,GO_HOME
576,GO_HOME
577,GO_HOME
578,GO_HOME
579,GO_HOME
580,GO_HOME
581,GO_HOME
582,GO_HOME
583,GO_HOME
584,GO_HOME
585,GO_HOME
586,GO_HOME
587,GO_HOME
588,GO_HOME
589,GO_HOME
590,GO_HOME
591,GO_HOME
592,GO_HOME
593,GO_HOME
594,GO_HOME
595,GO_HOME
596,GO_HOME
597,GO_HOME
598,GO_HOME
599,GO_HOME
600,GO_HOME
601,GO_HOME
602,GO_HOME
603,GO_HOME
604,GO_HOME
605,GO_HOME
606,GO_HOME
607,GO_HOME
608,GO_HOME
609,GO_HOME
610,GO_HOME
611,GO_HOME
612,GO_HOME
613,GO_HOME
614,GO_HOME
615,GO_HOME
616,GO_HOME
617,GO_HOME
618,GO_HOME
619,GO_HOME
620,GO_HOME
621,GO_HOME
622,GO_HOME
623,GO_HOME
624,GO_HOME
625,GO_HOME
626,GO_HOME
627,GO_HOME
628,GO_HOME
629,GO_HOME
630,GO_HOME
631,GO_HOME
632,GO_HOME
633,GO_HOME
634,GO_HOME
635,GO_HOME
636,GO_HOME
637,GO_HOME
638,GO_HOME
639,GO_HOME
640,GO_HOME
641,GO_HOME
642,GO_HOME
643,GO_HOME
644,GO_HOME
645,GO_HOME
646,GO_HOME
647,GO_HOME
648,GO_HOME
649,GO_HOME
650,GO_HOME
651,GO_HOME
652,GO_HOME
653,GO_HOME
654,GO_HOME
655,GO_HOME
656,GO_HOME
657,GO_HOME
658,GO_HOME
659,GO_HOME
660,GO_HOME
661,GO_HOME
662,GO_HOME
663,GO_HOME
664,GO_HOME
665,GO_HOME
666,GO_HOME
667,GO_HOME
668,GO_HOME
669,GO_HOME
670,GO_HOME
671,GO_HOME
672,GO_HOME
673,GO_HOME
674,GO_HOME
675,GO_HOME
676,GO_HOME
677,GO_HOME
678,GO_HOME
679,GO_HOME
680,GO_HOME
681,GO_HOME
682,GO_HOME
683,GO_HOME
684,GO_HOME
685,GO_HOME
686,GO_HOME
687,GO_HOME
688,GO_HOME
689,GO_HOME
690,GO_HOME
691,GO_HOME
692,GO_HOME
693,GO_HOME
694,GO_HOME
695,GO_HOME
696,GO_HOME
697,GO_HOME
698,GO_HOME
699,GO_HOME
700,GO_HOME
701,GO_HOME
702,GO_HOME
703,GO_HOME
704,GO_HOME
705,GO_HOME
706,GO_HOME
707,GO_HOME
708,GO_HOME
709,GO_HOME
710,GO_HOME
711,GO_HOME
712,GO_HOME
713,GO_HOME
714,GO_HOME
715,GO_HOME
716,GO_HOME
717,GO_HOME
718,GO_HOME
719,GO_HOME
720,GO_HOME
721,GO_HOME
722,GO_HOME
723,GO_HOME
724,GO_HOME
725,GO_HOME
726,GO_HOME
727,GO_HOME
728,GO_HOME
729,GO_HOME
730,GO_HOME
731,GO_HOME
732,GO_HOME
733,GO_HOME
734,GO_HOME
735,GO_HOME
736,GO_HOME
737,GO_HOME
738,GO_HOME
739,GO_HOME
740,GO_HOME
741,GO_HOME
742,GO_HOME
743,GO_HOME
744,GO_HOME
745,GO_HOME
746,GO_HOME
747,GO_HOME
748,GO_HOME
749,GO_HOME
750,GO_HOME
751,GO_HOME
752,GO_HOME
753,GO_HOME
754,GO_HOME
755,GO_HOME
756,GO_HOME
757,GO_HOME
758,GO_HOME
759,GO_HOME
760,GO_HOME
761,GO_HOME
762,GO_HOME
763,GO_HOME
764,GO_HOME
765,GO_HOME
766,GO_HOME
767,GO_HOME
768,GO_HOME
769,GO_HOME
770,GO_HOME
771,GO_HOME
772,GO_HOME
773,GO_HOME
774,GO_HOME
775,GO_HOME
776,GO_HOME
777,GO_HOME
778,GO_HOME
779,GO_HOME
780,GO_HOME
781,GO_HOME
782,GO_HOME
783,GO_HOME
784,GO_HOME
785,GO_HOME
786,GO_HOME
787,GO_HOME
788,GO_HOME
789,GO_HOME
790,GO_HOME
791,GO_HOME
792,GO_HOME
793,GO_HOME
794,GO_HOME
795,GO_HOME
796,GO_HOME
797,GO_HOME
798,GO_HOME
799,GO_HOME
800,GO_HOME
801,GO_HOME
802,GO_HOME
803,GO_HOME
804,GO_HOME
805,GO_HOME
806,GO_HOME
807,GO_HOME
808,GO_HOME
809,GO_HOME
810,GO_HOME
811,GO_HOME
812,GO_HOME
813,GO_HOME
814,GO_HOME
815,GO_HOME
816,GO_HOME
817,GO_HOME
818,GO_HOME
819,GO_HOME
820,GO_HOME
821,GO_HOME
822,GO_HOME
823,GO_HOME
824,GO_HOME
825,GO_HOME
826,GO_HOME
827,GO_HOME
828,GO_HOME
829,GO_HOME
830,GO_HOME
831,GO_HOME
832,GO_HOME
833,GO_HOME
834,GO_HOME
835,GO_HOME
836,GO_HOME
837,GO_HOME
838,GO_HOME
839,GO_HOME
840,GO_HOME
841,GO_HOME
842,GO_HOME
843,GO_HOME
844,GO_HOME
845,GO_HOME
846,GO_HOME
847,GO_HOME
848,GO_HOME
849,GO_HOME
850,GO_HOME
851,GO_HOME
852,GO_HOME
853,GO_HOME
854,GO_HOME
855,GO_HOME
856,GO_HOME
857,GO_HOME
858,GO_HOME
859,GO_HOME
860,GO_HOME
861,GO_HOME
862,GO_HOME
863,GO_HOME
864,GO_HOME
865,GO_HOME
866,GO_HOME
867,GO_HOME
868,GO_HOME
869,GO_HOME
870,GO_HOME
871,GO_HOME
872,GO_HOME
873,GO_HOME
874,GO_HOME
875,GO_HOME
876,GO_HOME
877,GO_HOME
878,GO_HOME
879,GO_HOME
880,GO_HOME
881,GO_HOME
882,GO_HOME
883,GO_HOME
884,GO_HOME
885,GO_HOME
886,GO_HOME
887,GO_HOME
888,GO_HOME
889,GO_HOME
890,GO_HOME
891,GO_HOME
892,GO_HOME
893,GO_HOME
894,GO_HOME
895,GO_HOME
896,GO_HOME
897,GO_HOME
898,GO_HOME
899,GO_HOME
900,GO_HOME
901,GO_HOME
902,GO_HOME
903,GO_HOME
904,GO_HOME
905,GO_HOME
906,GO_HOME
907,GO_HOME
908,GO_HOME
909,GO_HOME
910,GO_HOME
911,GO_HOME
912,GO_HOME
913,GO_HOME
914,GO_HOME
915,GO_HOME
916,GO_HOME
917,GO_HOME
918,GO_HOME
919,GO_HOME
920,GO_HOME
921,GO_HOME
922,GO_HOME
923,GO_HOME
924,GO_HOME
925,GO_HOME
926,GO_HOME
927,GO_HOME
928,GO_HOME
929,GO_HOME
930,GO_HOME
931,GO_HOME
932,GO_HOME
933,GO_HOME
934,GO_HOME
935,GO_HOME
936,GO_HOME
937,GO_HOME
938,GO_HOME
939,GO_HOME
940,GO_HOME
941,GO_HOME
942,GO_HOME
943,GO_HOME
944,GO_HOME
945,GO_HOME
946,GO_HOME
947,GO_HOME
948,GO_HOME
949,GO_HOME
950,GO_HOME
951,GO_HOME
952,GO_HOME
953,GO_HOME
954,GO_HOME
955,GO_HOME
956,GO_HOME
957,GO_HOME
958,GO_HOME
959,GO_HOME
960,GO_HOME
961,GO_HOME
962,GO_HOME
963,GO_HOME
964,GO_HOME
965,GO_HOME
966,GO_HOME
967,GO_HOME
968,GO_HOME
969,GO_HOME
970,GO_HOME
971,GO_HOME
972,GO_HOME
973,GO_HOME
974,GO_HOME
975,GO_HOME
976,GO_HOME
977,GO_HOME
978,GO_HOME
979,GO_HOME
980,GO_HOME
981,GO_HOME
982,GO_HOME
983,GO_HOME
984,GO_HOME
985,GO_HOME
986,GO_HOME
987,GO_HOME
988,GO_HOME
989,GO_HOME
990,GO_HOME
991,GO_HOME
992,GO_HOME
993,GO_HOME
994,GO_HOME
995,GO_HOME
996,GO_HOME
997,GO_HOME
998,GO_HOME
999,GO_HOME
1000,GO_HOME
1001,GO_HOME
1002,GO_HOME
1003,GO_HOME
1004,GO_HOME
1005,GO_HOME
1006,GO_HOME
1007,GO_HOME
1008,GO_HOME
1009,GO_HOME
1010,GO_HOME
1011,GO_HOME
1012,GO_HOME
1013,GO_HOME
1014,GO_HOME
1015,GO_HOME
1016,GO_HOME
1017,GO_HOME
1018,GO_HOME
1019,GO_HOME
1020,GO_HOME
1021,GO_HOME
1022,GO_HOME
1023,GO_HOME
1024,GO_HOME
1025,GO_HOME
1026,GO_HOME
1027,GO_HOME
1028,GO_HOME
1029,GO_HOME
1030,GO_HOME
1031,GO_HOME
1032,GO_HOME
1033,GO_HOME
1034,GO_HOME
1035,GO_HOME
1036,GO_HOME
1037,GO_HOME
1038,GO_HOME
1039,GO_HOME
1040,GO_HOME
1041,GO_HOME
1042,GO_HOME
1043,GO_HOME
1044,GO_HOME
1045,GO_HOME
1046,GO_HOME
1047,GO_HOME
1048,GO_HOME
1049,GO_HOME
1050,GO_HOME
1051,GO_HOME
1052,GO_HOME
1053,GO_HOME
1054,GO_HOME
1055,GO_HOME
1056,GO_HOME
1057,GO_HOME
1058,GO_HOME
1059,GO_HOME
1060,GO_HOME
1061,GO_HOME
1062,GO_HOME
1063,GO_HOME
1064,GO_HOME
1065,GO_HOME
1066,GO_HOME
1067,GO_HOME
1068,GO_HOME
1069,GO_HOME
1070,GO_HOME
1071,GO_HOME
1072,GO_HOME
1073,GO_HOME
1074,GO_HOME
1075,GO_HOME
1076,GO_HOME
1077,GO_HOME
1078,GO_HOME
1079,GO_HOME
1080,GO_HOME
1081,GO_HOME
1082,GO_HOME
1083,GO_HOME
1084,GO_HOME
1085,GO_HOME
1086,GO_HOME
1087,GO_HOME
1088,GO_HOME
1089,GO_HOME
1090,GO_HOME
1091,GO_HOME
1092,GO_HOME
1093,GO_HOME
1094,GO_HOME
1095,GO_HOME
1096,GO_HOME
1097,GO_HOME
1098,GO_HOME
1099,GO_HOME
1100,GO_HOME
1101,GO_HOME
1102,GO_HOME
1103,GO_HOME
1104,GO_HOME
1105,GO_HOME
1106,GO_HOME
1107,GO_HOME
1108,GO_HOME
1109,GO_HOME
1110,GO_HOME
1111,GO_HOME
1112,GO_HOME
1113,GO_HOME
1114,GO_HOME
1115,GO_HOME
1116,GO_HOME
1117,GO_HOME
1118,GO_HOME
1119,GO_HOME
1120,GO_HOME
1121,GO_HOME
1122,GO_HOME
1123,GO_HOME
1124,GO_HOME
1125,GO_HOME
1126,GO_HOME
1127,GO_HOME
1128,GO_HOME
1129,GO_HOME
1130,GO_HOME
1131,GO_HOME
1132,GO_HOME
1133,GO_HOME
1134,GO_HOME
1135,GO_HOME
1136,GO_HOME
1137,GO_HOME
1138,GO_HOME
1139,GO_HOME
1140,GO_HOME
1141,GO_HOME
1142,GO_HOME
1143,GO_HOME
1144,GO_HOME
1145,GO_HOME
1146,GO_HOME
1147,GO_HOME
1148,GO_HOME
1149,GO_HOME
1150,GO_HOME
1151,GO_HOME
1152,GO_HOME
1153,GO_HOME
1154,GO_HOME
1155,GO_HOME
1156,GO_HOME
1157,GO_HOME
1158,GO_HOME
1159,GO_HOME
1160,GO_HOME
1161,GO_HOME
1162,GO_HOME
1163,GO_HOME
1164,GO_HOME
1165,GO_HOME
1166,GO_HOME
1167,GO_HOME
1168,GO_HOME
1169,GO_HOME
1170,GO_HOME
1171,GO_HOME
1172,GO_HOME
1173,GO_HOME
1174,GO_HOME
1175,GO_HOME
1176,GO_HOME
1177,GO_HOME
1178,GO_HOME
1179,GO_HOME
1180,GO_HOME
1181,GO_HOME
1182,GO_HOME
1183,GO_HOME
1184,GO_HOME
1185,GO_HOME
1186,GO_HOME
1187,GO_HOME
1188,GO_HOME
1189,GO_HOME
1190,GO_HOME
1191,GO_HOME
1192,GO_HOME
1193,GO_HOME
1194,GO_HOME
1195,GO_HOME
1196,GO_HOME
1197,GO_HOME
1198,GO_HOME
1199,GO_HOME
1200,GO_HOME
1201,GO_HOME
1202,GO_HOME
1203,GO_HOME
1204,GO_HOME
1205,GO_HOME
1206,GO_HOME
1207,GO_HOME
1208,GO_HOME
1209,GO_HOME
1210,GO_HOME
1211,GO_HOME
1212,GO_HOME
1213,GO_HOME
1214,GO_HOME
1215,GO_HOME
1216,GO_HOME
1217,GO_HOME
1218,GO_HOME
1219,GO_HOME
1220,GO_HOME
1221,GO_HOME
1222,GO_HOME
1223,GO_HOME
1224,GO_HOME
1225,GO_HOME
1226,GO_HOME
1227,GO_HOME
1228,GO_HOME
1229,GO_HOME
1230,GO_HOME
1231,GO_HOME
1232,GO_HOME
1233,GO_HOME
1234,GO_HOME
1235,GO_HOME
1236,GO_HOME
1237,GO_HOME
1238,GO_HOME
1239,GO_HOME
1240,GO_HOME
1241,GO_HOME
1242,GO_HOME
1243,GO_HOME
1244,GO_HOME
1245,GO_HOME
1246,GO_HOME
1247,GO_HOME
1248,GO_HOME
1249,GO_HOME
1250,GO_HOME
1251,GO_HOME
1252,GO_HOME
1253,GO_HOME
1254,GO_HOME
1255,GO_HOME
1256,GO_HOME
1257,GO_HOME
1258,GO_HOME
1259,GO_HOME
1260,GO_HOME
1261,GO_HOME
1262,GO_HOME
1263,GO_HOME
1264,GO_HOME
1265,GO_HOME
1266,GO_HOME
1267,GO_HOME
1268,GO_HOME
1269,GO_HOME
1270,GO_HOME
1271,GO_HOME
1272,GO_HOME
1273,GO_HOME
1274,GO_HOME
1275,GO_HOME
1276,GO_HOME
1277,GO_HOME
1278,GO_HOME
1279,GO_HOME
1280,GO_HOME
1281,GO_HOME
1282,GO_HOME
1283,GO_HOME
1284,GO_HOME
1285,GO_HOME
1286,GO_HOME
1287,GO_HOME
1288,GO_HOME
1289,GO_HOME
1290,GO_HOME
1291,GO_HOME
1292,GO_HOME
1293,GO_HOME
1294,END
